,WWH,,WZH,,OSWWH,,ZZH,,TotalSig,,TotalBkg,,DYJets,,TTX,,Others,
cut,raw,wgt,raw,wgt,raw,wgt,raw,wgt,raw,wgt,raw,wgt,raw,wgt,raw,wgt,raw,wgt
BaseCut,1759,0.83,7328,3.94,2306,1.89,17818,6.10,29211,12.76,2202226,75543.60,37811,58433.41,862168,11476.76,1302247,5633.43
SelectLHEVariables,1759,0.83,7328,3.94,2306,1.89,17818,6.10,29211,12.76,2063995,75470.87,37811,58433.41,862168,11476.76,1164016,5560.70
eq2OSLeptonsPtGt30,897,0.42,6251,3.36,1077,0.90,16178,5.54,24403,10.22,1539424,60757.66,33772,51644.54,518802,4786.01,986850,4327.11
geq2Fatjets,232,0.11,1985,1.07,192,0.16,4779,1.63,7188,2.97,176653,3978.17,2087,3227.24,93505,429.50,81061,321.43
geq2JetsPtGt30,133,0.06,1246,0.68,118,0.09,2958,1.00,4455,1.84,89087,1276.65,594,893.55,57644,288.67,30849,94.43
