Path,Key,Year,Luminosity,Xsection,WeightedEventSum,Raw event count,Per event weight
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_2oslep_2ak4_1ak8_v2/DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1_NANOAODSIM_bkg_2oslep_2ak4_1ak8_v2,DYJetsToLL_M-10to50,20UL16NanoAODv9,16.81,20657.0,22388550.0,22,15.509899926524943
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_2oslep_2ak4_1ak8_v2/DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1_NANOAODSIM_bkg_2oslep_2ak4_1ak8_v2,DYJetsToLL_M-10to50,20UL16NanoAODAPVv9,19.52,20657.0,25799525.0,32,15.629149761478166
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_2oslep_2ak4_1ak8_v2/DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1_NANOAODSIM_bkg_2oslep_2ak4_1ak8_v2,DYJetsToLL_M-10to50,20UL17NanoAODv9,41.48,20657.0,68480179.0,69,12.512414139571684
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_2oslep_2ak4_1ak8_v2/DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1_NANOAODSIM_bkg_2oslep_2ak4_1ak8_v2,DYJetsToLL_M-10to50,20UL18NanoAODv9,59.83,20657.0,94452816.0,99,13.084928140204946
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_2oslep_2ak4_1ak8_v2/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1_NANOAODSIM_bkg_2oslep_2ak4_1ak8_v2,DYJetsToLL_M-50,20UL16NanoAODv9,16.81,6198.0,82448537.0,5197,1.263677729054185
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_2oslep_2ak4_1ak8_v2/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1_NANOAODSIM_bkg_2oslep_2ak4_1ak8_v2,DYJetsToLL_M-50,20UL16NanoAODAPVv9,19.52,6198.0,95170542.0,5666,1.271243784657651
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_2oslep_2ak4_1ak8_v2/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9_ext1-v1_NANOAODSIM_bkg_2oslep_2ak4_1ak8_v2,DYJetsToLL_M-50,20UL17NanoAODv9,41.48,6198.0,203729540.0,13805,1.261933051044045
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_2oslep_2ak4_1ak8_v2/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1_ext1-v1_NANOAODSIM_bkg_2oslep_2ak4_1ak8_v2,DYJetsToLL_M-50,20UL18NanoAODv9,59.83,6198.0,197649078.0,12921,1.876185529183192
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_2oslep_2ak4_1ak8_v2/EWKWMinus2Jets_WToLNu_M-50_TuneCP5_withDipoleRecoil_13TeV-madgraph-pythia8_RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1_NANOAODSIM_bkg_2oslep_2ak4_1ak8_v2,EWKWMinus2Jets_WToLNu_M-50,20UL16NanoAODv9,16.81,32.26,2202000.0,1,0.246271843778383
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_2oslep_2ak4_1ak8_v2/EWKWMinus2Jets_WToLNu_M-50_TuneCP5_withDipoleRecoil_13TeV-madgraph-pythia8_RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1_NANOAODSIM_bkg_2oslep_2ak4_1ak8_v2,EWKWMinus2Jets_WToLNu_M-50,20UL16NanoAODAPVv9,19.52,32.26,2248000.0,1,0.280122419928825
